chunk_id	source	page	category	content
11	Chinh_sach_mua_hang.docx		Policies	## Average delivery time:  Orders within Hanoi or Ho Chi Minh: Customers will receive within a maximum of 24 hours (Usually 2-4 hours) from the time of order. Except for pre-orders or insufficient inventory, nenthom.com.vn's customer service will call to notify customers about this issue. Usually it can be sooner depending on the time the customer places the order.  Other areas: 1-3 days (usually 1-2 days), if after 3 days from the time of order you have not received a delivery call from the postman, please contact nenthom.com.vn for support (If ordering gifts for holidays, please order 1-3 days earlier to avoid overload).
12	Chinh_sach_mua_hang.docx		Policies	# Payment policy  Nenthom.com.vn is responsible for and protects your rights when making payment transactions.  We support the following payment methods:  Cash payment for COD (delivery and collection at home) nationwide.  Payment by MoMo e-wallet.  Payment by Zalo Pay e-wallet.  Payment by bank transfer via Internet banking, Admin will contact you to provide  # Return Policy  It is annoying if you buy something and cannot return it, so nenthom.com.vn has a support policy to ensure the most satisfaction.  Customers can exchange or return the product within 7 days from the date of purchase.
13	Chinh_sach_mua_hang.docx		Policies	## Conditions for returning the product:  The product is still intact with all parts, showing no signs of heavy use or damage.  There are complete accompanying documents (purchase invoice, catalog, etc.) and accessories, gifts (if any).  The customer will bear the cost of returning the product to nenthom.com.vn  ## Quick Steps to Return:  Step 1: Notify us by contacting us via Fanpage or hotline.  Step 2: Send the package to us at 303B Vu Huu, Thanh Xuan Bac Ward, Thanh Xuan District, Hanoi.  Step 3: Immediately after receiving your returned goods, we will send you a new order.
14	Chinh_sach_mua_hang.docx		Policies	# Privacy Policy  To ensure website security and information security for consumers, nenthom.com.vn has issued a number of information security policies for individual and organizational customers when logging in to the website: nenthom.com.vn  ## Purpose of information collection  Collecting information via the website nenthom.com.vn will help us  Grasp the wishes and desires of customers to improve services  Help customers update promotions, discounts... organized by Top Quà Tặng as soon as possible.  Support customers with complaints and comments as quickly as possible.  ## Scope of information collection  Nenthom.com.vn collects customer information including:  First name  Last name  Email address  Phone number  Country  Province  Address
15	Chinh_sach_mua_hang.docx		Policies	## Scope of information use  We take customer information security very seriously, so we commit to absolutely not arbitrarily use customer information for purposes that do not benefit customers, we commit to not trading or exchanging customer confidential information to any third party. However, in some special cases below, we can reasonably share customer information when  With the customer's consent. To protect the interests of the company and the company's partners: We only provide personal information of customers when we are sure that such information can protect the interests and assets of our company and related partners. This information will be legally disclosed according to Vietnamese law. At the request of government agencies when we deem it appropriate under Vietnamese law.
16	Chinh_sach_mua_hang.docx		Policies	In some cases where it is necessary to provide other customer information, such as promotions sponsored by a third party, we will notify you before your information is shared. You have the right to decide whether to agree to share information or participate.
17	Chinh_sach_mua_hang.docx		Policies	## Information storage time  Nenthom.com.vn will store Personal Information provided by Customers on our internal systems during the process of providing services to Customers or until the purpose of collection is completed or when Customers request to cancel the information provided.  Means and tools for users to access and edit their personal data.  Customers can exercise the above rights by accessing the website themselves or contacting us via email or contact address published on the website of nenthom.com.vn  Commitment to protecting customer personal information
18	Chinh_sach_mua_hang.docx		Policies	Commitment to protecting customer personal information  We are committed to ensuring the security of information for customers when registering personal information with our company. We are committed to not exchanging and selling customer information for commercial purposes. We are committed to implementing all sharing and use of customer information in accordance with the company's privacy policy. We are committed to making customers feel confident and satisfied about the security of personal information when participating and using our company's services.
19	Chinh_sach_mua_hang.docx		Policies	## Contact information  We always welcome your comments, contacts and feedback on this "Privacy Policy". If you have any related questions, please contact us at Email address: nenthom.com.vn
20	coupons.csv		Discount_Program	             Coupon Code: NEWYEAR2025              Discount Type: percent              Discount Value: 15.0              Minimum Order: 200000.0              Maximum Discount: 50000.0              Usage per Customer: 2              Coupon status: active             
21	coupons.csv		Discount_Program	             Coupon Code: FREESHIP50              Discount Type: amount              Discount Value: 50000.0              Minimum Order: 100000.0              Maximum Discount: nan              Usage per Customer: 3              Coupon status: active             
22	coupons.csv		Discount_Program	             Coupon Code: WELCOME10              Discount Type: percent              Discount Value: 10.0              Minimum Order: 0.0              Maximum Discount: nan              Usage per Customer: 1              Coupon status: disabled             
23	coupons.csv		Discount_Program	             Coupon Code: VIPMEMBER              Discount Type: amount              Discount Value: 100000.0              Minimum Order: 500000.0              Maximum Discount: nan              Usage per Customer: 5              Coupon status: active             
24	coupons.csv		Discount_Program	             Coupon Code: SUMMERSALE              Discount Type: percent              Discount Value: 20.0              Minimum Order: 300000.0              Maximum Discount: 80000.0              Usage per Customer: 2              Coupon status: expired             
25	Common_FAQ.md		Product_Catalog	1. How do I find the right product for me?  Each product page includes detailed descriptions and specifications to help you choose. If you have questions, our support team is happy to assist with personalized recommendations.  2. Can I change my order after placing it?  We can modify or cancel an order if it hasn’t been processed yet. Please contact us as soon as possible at Support nenthombnc.2005gmail.com.vn for any changes.  3. What should I do if I entered the wrong shipping address?  Contact us immediately at Support nenthombnc.2005gmail.com.vn. If the order has not been shipped, we can update the address. Once shipped, rerouting may not be possible.  4. What types of promotions do you offer?  We offer seasonal sales, first-time customer discounts, and exclusive promotions to our email subscribers. Check our homepage or sign up for notifications.  5. How do I apply a discount code?  You can enter your discount code at the checkout page before finalizing payment. Make sure to apply it before completing your order.  6. What should I do if I receive the wrong item?  If you receive an incorrect product, please contact our support team with your order number and a photo of the received item. We’ll resolve it promptly.  7. Are your products covered by a warranty?  Some of our products come with a manufacturer’s warranty. Details are available on the respective product pages. Contact us if you need warranty assistance.  8. How do I know if my order was successful?  You will receive a confirmation email with your order number. If you don’t see it, please check your spam folder or reach out to us at Support nenthombnc.2005gmail.com.vn.  9. How do I subscribe to your newsletter?  You can subscribe by entering your email address at the bottom of our homepage. Subscribers receive early access to sales and exclusive discounts.  10. What if I forgot my account password?  Click on the “Forgot Password” link on the login page and follow the instructions to reset your password securely. Need further assistance? Email us at Support@therumfordgroup.org. Our team is ready to help!
26	3_Day_WKND.md		Product_Catalog	Product name: 3 Day WKND  Category: Scented Candle  Main Scents: - Green Apple - Cucumber - Waterlily  Season: - Spring - Summer - Any Season  Fragrance Family: Fruity  Scent Profile: Top notes is green apple, cucumber, next is middle notes such as Lily of the valley, waterlity and Green juice. Finally, base notes is violet leaf and woods  Customer Perception: - Fresh and clean scent - Crisp, fruity, and uplifting aroma - Feels light, airy, and relaxing - Some customers compare the fruity accord to pear-like notes - Suitable for casual relaxation, TV nights, and family gatherings - Fills a room without becoming overwhelming  Suitable For: - Living room - Bedroom - Home office - Apartment spaces - Weekend relaxation - Family gatherings - Spring and summer home fragrance  Mood: - Refreshing - Carefree - Relaxing - Cheerful - Light-hearted - Weekend getaway vibes - Clean and rejuvenating  Technical Specifications: - Brand: Friday Collective - Material: Soy Wax Blend - Color: Green - Season: Any Season - Dimensions: 4.4"W x 3"H - Weight: 2 Pounds - Burn Time: Approximately 45–48 Hours - Wick Type: Natural Fiber Wick - Wick Count: 3 Wicks  Best For: - Creating a fresh and clean atmosphere - Weekend self-care routines - Brightening indoor spaces - Everyday home fragrance - Spring and summer décor - People who enjoy fruity-green fragrances - Gift giving for friends and family  Keywords: 3 Day WKND, Friday Collective Candle, Fruity Candle, Green Apple Candle, Cucumber Candle, Waterlily Candle, Fresh Candle, Weekend Candle, Soy Wax Candle, Clean Scent Candle, Green Fruity Fragrance, Triple Wick Candle, Essential Oil Candle, Spring Candle, Summer Candle  Vietnamese Keywords: nến thơm 3 Day WKND, nến Friday Collective, nến hương táo xanh, nến hương dưa leo, nến hương hoa súng, nến trái cây tươi mát, nến thư giãn cuối tuần, nến đậu nành, nến 3 bấc, nến thơm mùa hè, nến thơm mùa xuân, nến thơm phòng khách, nến thơm phòng ngủ, nến hương sạch sẽ, nến hương tươi mới
27	Amber_And_Vanilla.md		Product_Catalog	Product name: Amber And Vanilla  Category: Candle  Main Scents: - Amber - Vanilla - Soft Musk  Season: - Autumn - Winter - Any Season  Fragrance Family: Amber, Gourmand, Warm Sweet  Scent Profile: A comforting blend of warm amber and creamy vanilla. The fragrance opens with soft sweet notes, develops into rich vanilla accords, and settles into a warm amber and musk base that creates a cozy and inviting atmosphere.  Customer Perception: - Warm and cozy - Sweet but not overpowering - Comforting home fragrance - Relaxing evening scent - Creates a welcoming atmosphere - Suitable for everyday use - Often perceived as elegant and soothing  Suitable For: - Living Room - Bedroom - Reading Corner - Home Office - Relaxation Spaces - Holiday Gatherings - Self-care Routines  Mood: - Cozy - Relaxing - Romantic - Comforting - Peaceful - Inviting - Warm  Technical Specifications: - Color: Yellow / Amber - Season: Summer - Material: Wax Blend - Weight: 12 oz - Dimensions: 3" D x 4.5" H - Burn Time: Approximately 40–60 Hours (estimated from candles of similar size) - Brand: Western Brook - Wick Type:Cotton Wick (assumed from visible product construction) - Container:Glass Jar with Metal Lid  Best For: - Creating a cozy atmosphere - Evening relaxation - Bedroom fragrance - Fall and winter décor - Gift giving - Reading sessions - Movie nights - Warm home ambience  Keywords: Western Brook Candle, Amber Vanilla Candle, Haz Todo Con Amor Candle, Warm Candle, Vanilla Candle, Amber Candle, Cozy Candle, Relaxing Candle, Home Fragrance, Scented Candle, Gourmand Candle, Sweet Candle, Glass Jar Candle  Vietnamese Keywords:nến thơm amber vanilla, nến western brook, nến hương hổ phách, nến hương vanilla, nến thơm ngọt ấm, nến thư giãn, nến thơm phòng ngủ, nến thơm phòng khách, nến mùa thu, nến mùa đông, nến hương ấm áp, nến quà tặng, nến thủy tinh, nến thơm cao cấp
28	BLOW_A_WISH.md		Product_Catalog	Product name: BLOW A WISH  Category: Scented Candle  Main Scents: - Vanilla - Amber - Soft Musk  Season: - Autumn - Winter - Any Season  Fragrance Family: Warm, Amber, Sweet  Scent Profile:A comforting blend of creamy vanilla and warm amber with subtle musk undertones. The fragrance creates a cozy and elegant atmosphere that feels soothing and celebratory.  Customer Perception: - Warm and sophisticated - Relaxing and comforting - Suitable for gifting - Creates a luxurious atmosphere - Not overly sweet - Feels elegant and modern  Suitable For: - Bedroom - Living Room - Reading Corner - Meditation Space - Gift Occasions - Birthday Celebrations  Mood: - Cozy - Peaceful - Elegant - Relaxing - Celebratory - Romantic  Technical Specifications: - Brand:Lumos - Material:Wax Blend - Color:Black - Weight:7.4 oz - Burn Time: Approximately 30–40 hours - Wick Type: Cotton Wick - Container: Glass Jar - Lid: Wooden Lid  Best For: - Birthday gifts - Home decoration - Evening relaxation - Cozy indoor atmosphere - Reading sessions - Romantic settings - Self-care routines  Keywords: Blow A Wish Candle, Lumos Candle, Birthday Candle, Amber Vanilla Candle, Luxury Candle, Black Candle, Glass Jar Candle, Home Fragrance, Decorative Candle, Gift Candle, Relaxing Candle, Cozy Candle  Vietnamese Keywords: nến thơm blow a wish, nến lumos, nến quà sinh nhật, nến hương vanilla, nến hương amber, nến thơm cao cấp, nến đen sang trọng, nến thư giãn, nến thơm phòng ngủ, nến thơm phòng khách, nến trang trí, nến quà tặng
29	Candle_holder.md		Product_Catalog	Product name: Candle holder  Category: Decorative Candle  Main Scents: - Unspecified - Decorative Product  Season: Any Season  Fragrance Family: Decorative / Unscented  Scent Profile:No official fragrance information is available. The product is primarily designed as a decorative candle featuring a handcrafted white bear displayed under a glass dome.  Customer Perception: - Cute and charming - Minimalist aesthetic - Suitable for room decoration - Popular as a gift item - Creates a cozy atmosphere - Often purchased as a decorative object rather than for fragrance  Suitable For: - Bedroom Decor - Desk Decoration - Living Room Display - Gift Giving - Nursery Decoration - Photography Props  Mood: - Cute - Cozy - Peaceful - Playful - Whimsical - Heartwarming  Technical Specifications: - Brand:Unknown - Material:Wax, Glass, Wood - Color:White  Best For: - Home decoration - Birthday gifts - Nursery decor - Minimalist interiors - Photography styling - Shelf decoration - Collectible candle displays  Keywords: Bear Candle, White Bear Candle, Decorative Candle, Animal Candle, Nordic Decor Candle, Cute Candle, Glass Dome Candle, Kawaii Candle, Handmade Candle, Decorative Wax Art, Gift Candle, Aesthetic Candle  Vietnamese Keywords: nến gấu trắng, nến trang trí gấu, nến decor dễ thương, nến chuông kính, nến thủ công, nến nghệ thuật, nến quà tặng, nến phong cách bắc âu, nến trang trí phòng ngủ, nến decor bàn làm việc, nến kawaii, nến gấu mini
30	Candle_matchbox.md		Product_Catalog	Product name: Candle matchbox  Category: Candle Accessory / Luxury Safety Matches  Main Scents: Unscented (Natural Aspen Wood / Sulfur-Free Tip).  Season:ear-round (An absolute daily essential for candle lovers, fireplace lighting, and cozy evening wind-downs).  Fragrance Family: Non-fragrance / Utility Candle Care  Product Profile: A sleek, elegant, and highly photogenic candle lighting accessory designed for modern homes. Featuring elongated wooden sticks paired with contrasting monochrome match tips, these matches are specifically engineered to provide a clean, steady, and extra-long burn time. They ensure your fingers stay completely safe from flames when reaching deep into tall glass candle jars or lighting low-burned multi-wick waxes.  Customer Perception: Customers perceive these matches as a stunning, premium upgrade from cheap, disposable plastic lighters. They are highly praised for transforming a basic utility act into a beautiful, therapeutic self-care ritual. Users deeply love the minimalist typography and aesthetic "Good Day" slide-box designs, frequently keeping them on display on coffee tables or vanity trays right next to their favorite luxury candles.  Suitable For: Bedside candle vanities, living room display trays, cozy fireplace mantels, high-end bath counters, and professional product photography setups.  Mood: Minimalist, sophisticated, comforting, intentional, therapeutic, clean.  Technical Specifications: - Brand: Artisanal Minimalism Collection - Material: Eco-friendly premium natural wood splints tipped with high-quality, clean-burning safety chemicals. - Packaging: Heavy-duty slider matchboxes featuring a honeycomb-textured friction strike pad running along the side panel. - Color Variations: High-contrast style options including a sleek all-black box with deep charcoal tips and a crisp white box with snow-white tips.  Best For: Effortlessly lighting deep-wick jar candles, elevating home decor styling, adding value to luxury candle gift baskets, and safe, wind-resistant ignition.  Keywords:safety matches, long candle matches, aesthetic matchbox, good day matches, luxury candle lighter, decorative matchbox, white match tip, black match tip, matchbox with striker, minimalist candle accessory  Vietnamese Keywords:diêm đốt nến, diêm dài quẹt nến, phụ kiện nến thơm, hộp diêm decor, diêm nến thơm cao cấp, hộp diêm Good Day, phụ kiện nến Lumos, decor khay nến, diêm an toàn, quà tặng nến thơm.
31	Candle_metal_tray.md		Product_Catalog	Product name: Candle metal tray  Category: Home Decor / Vanity Display Tray / Candle & Perfume Organizer  Main Scents: Unscented (Premium Finished Metal and Glass construction).  Season: Year-round (An elegant classic for updating bedroom vanities, dressing areas, or organizing luxury living room displays).  Fragrance Family: Non-fragrance / Utility Home Organization  Product Profile: A luxury, high-shine decorative vanity tray designed to elegantly arrange and elevate your daily essentials. Crafted with an exquisite ornate filigree metal border in polished gold, it features a crystal-clear reflective glass mirror base that catches the light beautifully. Supported by smooth rounded ball feet, it keeps your glass dropper bottles, square reed diffusers, jewelry, and luxury candles perfectly organized while protecting delicate countertops from oil spills or scratches.  Customer Perception: Customers perceive these mirror trays as high-end, elegant, and incredibly glamorous organizing pieces. They are highly praised for giving cosmetics, perfumes, and aromatherapy diffusers a luxurious "boutique display" feel at home. Users love the high-shine reflective base, noting that it creates beautiful depth and looks exceptionally gorgeous under bedroom vanity lighting or when featured in aesthetic lifestyle photo shoots.  Suitable For: Dressing tables for organizing skincare and jewelry, bathroom counters for hand soaps and amber dropper jars, and coffee tables as a decorative base for reed diffusers and candles.  Mood: Glamorous, luxurious, neat, elegant, royal, artistic.  Technical Specifications: - Brand: Luxury Home Artistry Collection - Material: Anti-rust alloy metal frame finished in brilliant gold, paired with a heavy-duty reflective mirror glass base. - Design Patterns: Available in a classic vertical pillar cutout filigree rail or an open geometric interlocking heart design border. - Base Support: Integrated matching smooth metal ball feet to elevate the tray base slightly off flat surfaces.  Best For: Creating a curated perfume or skincare vanity station, protecting furniture tops from oil diffuser rings, adding a royal touch to minimalistic spaces, and acting as an eye-catching background prop for product photography.  Keywords: gold mirror tray, vanity display plate, ornate perfume organizer, reflective candle tray, luxury cosmetic tray, royal gold filigree tray, mirrored metal tray, makeup storage base, decorative vanity dish, photography props tray  Vietnamese Keywords: khay gương decor, khay vàng đựng nến, khay đựng nước hoa, khay gương trang trí, khay mỹ phẩm cao cấp, phụ kiện chụp ảnh, khay vàng hoàng gia, decor bàn trang điểm, khay lót tinh dầu, đồ trang trí phòng ngủ.
32	Candle_pinwheel.md		Product_Catalog	Product name: Candle pinwheel  Category: Home Decor / Candle Carousel / Luxury Scented Candle Accessory  Featured Candle Scent: "Gilt Pomander & Hinoki" by Voluspa (A rich, luxurious blend of golden pomander, holly berries, warm cardamom, and Japanese hinoki bark).  Season: Autumn / Winter Holiday Season (Perfect for cozy Christmas nights, winter celebrations, and elegant year-end gatherings).  Fragrance Family:Woody / Warm & Spicy Citrus Holiday  Product Profile: A mesmerizing, heat-powered luxury candle accessory set designed to turn any room into a magical winter wonderland. The set features intricate metallic carousels adorned with hanging holiday charms like delicate snowflakes, reindeer, and festive pine trees. When a candle is lit beneath, the rising warm air currents automatically spin the top turbine, causing the dangling metallic charms to rotate gracefully and cast beautiful, dancing holiday shadows across your walls.  Customer Perception: Customers perceive this product as an exceptionally dreamlike, high-end, and sophisticated decor piece. It is highly praised for its mesmerizing movement, making it a captivating focal point on holiday tables. Users love the striking combination of the rotating silver snowflakes alongside the premium embossed glass of the large Voluspa jar, noting that it instantly elevates a standard candle-burning routine into a therapeutic holiday ritual.  Suitable For: Holiday dinner table centerpieces, cozy living room mantels, festive bedside tables, and luxury winter gift sets for loved ones or corporate clients.  Mood: Dreamy, magical, mesmerizing, luxurious, warm, festive.  Technical Specifications: - Material: Precision-cut heat-responsive alloy with high-shine metallic silver and polished gold finishes. - Design: The primary candle features a thick, premium rose-gold/amber glass container covered in a deeply textured, embossed floral lace pattern with a matching metallic gold lid rim. - Charm Theme Variations: Available in intricate cut snowflake designs, standing holiday pine trees, and whimsical walking reindeer.  Best For: Adding dynamic movement to holiday decorations, gifting to luxury candle collectors, creating beautiful reflections on a vanity mirror tray, and setting a cozy, magical mood on cold winter evenings.  Keywords: rotary candle carousel, spinning candle holder, snowflake candle topper, voluspa gilt pomander hinoki, moving candle charms, holiday candle accessory, embossed glass candle jar, rotary tealight holder, silver candle carousel, luxury christmas decor  Vietnamese Keywords: chong chóng xoay nến thơm, nến thơm cao cấp Voluspa, chong chóng nến Noel, phụ kiện nến thơm, khay gương đựng nến, trang trí Giáng sinh, quà tặng Noel sang trọng, cốc nến decor, chong chóng nến màu bạc, hũ nến họa tiết dập nổi.
33	Candle_rotation_tray.md		Product_Catalog	Product name: Candle rotation tray  Category: Candle Holder / Rotary Carousel / Decorative Home Accessory  Main Scents: Unscented (Premium Finished Metal construction engineered to accommodate standard unscented tealights or small scented votive cups).  Season: Year-round / Winter Holidays (A brilliant interactive piece that brings a magical ambience to dark winter nights, autumn table setups, or intimate dynamic dinner parties).  Fragrance Family: Non-fragrance / Utility Candle Care  Product Profile: A mesmerizing, minimalist candle accessory that utilizes basic thermodynamics to add rhythmic motion to your home. Constructed with an integrated tealight cup holder and a curved support rod, it holds a delicate multi-blade metal turbine at its peak. Once a candle wick is ignited below, rising hot thermal air currents push against the angled blades, spinning the carousel automatically and sending its detailed hanging ornaments dancing gracefully through the air.  Customer Perception: Customers perceive these carousels as whimsical, fascinating, and affordable luxury accent pieces that instantly elevate simple tealight candles. They are highly appreciated for casting beautiful moving patterns of light and shadows across surrounding walls. Users love having distinct design options—such as polished gold or sleek silver finishes—allowing them to match their existing interior metal elements seamlessly.  Suitable For: Cozy dining table layouts, meditative bedroom nightstands, ambient bathroom vanities, and distinctive mantelpiece displays during holiday seasons.  Mood: Whimsical, enchanting, dynamic, calming, cozy, artistic.  Technical Specifications: - Material: Precision-stamped, heat-responsive lightweight alloy with high-shine reflective plating. - Finishes: Available in a brilliant Polished Yellow Gold finish or a clean Metallic Silver finish. - Base Design: Features an integrated, circular metal well securely sized to hold standard aluminum or clear-cup tealight candles. - Ornament Themes:The gold variant features delicate, outstretched flying fairy silhouettes with textured wings; the silver variant features classic walking forest reindeer silhouettes.  Best For: Creating dynamic moving light silhouettes without using any electrical power, pairing with relaxing evening aromatherapy sessions, and gifting as a charming housewarming or secret Santa present.  Keywords: rotary candle holder, candle carousel stand, thermal spinning candle, fairy carousel candle, reindeer spinning holder, gold candle carousel, silver tealight holder, moving candle ornament, kinetic candle topper, decorative metal candle stand  Vietnamese Keywords: chong chóng xoay nến thơm, chân nến chong chóng, phụ kiện nến thơm, chong chóng xoay tealight, chân nến nghệ thuật, decor phòng ngủ, chân nến màu vàng, chân nến màu bạc, chong chóng hình thiên thần, trang trí Giáng sinh.
34	Candle_Scissor.md		Product_Catalog	Product name: Candle Scissor  Category: Candle Care Tool / Candle Accessory  Main Scents: Unscented (Premium heavy-duty plated steel construction).  Season: Year-round (An absolute daily essential for anyone burning soy, vegetable, or paraffin wax candles safely and cleanly).  Fragrance Family: Non-fragrance / Functional Candle Maintenance Tools  Product Profile: An essential, ergonomically designed candle maintenance tool engineered to keep your candles burning cleanly, safely, and efficiently. Featuring long, angled handles and a unique disc-shaped catching basin at the cutting blades, this trimmer allows you to easily reach deep into tall glass jars to snip burnt wicks down to the recommended quarter-inch height. The specialized debris tray catches the clipped carbon tip instantly, preventing it from dropping back down and contaminating your pristine wax pool.  Customer Perception: Customers perceive this tool as an indispensable premium accessory for dedicated candle lovers. It is highly praised for eliminating ugly black soot, reducing excessive smoke, and preventing erratic dancing flames caused by overgrown wicks. Users love the heavy, solid metallic feel in their hands, noting that having finish options like classic silver or trendy rose gold turns routine candle care into a stylish, satisfying ritual.  Suitable For: Trimming cotton, braided, or paper wicks deep inside tall glass jars, ceramic vessels, or tapered candle pillars before every burn cycle.  Mood: Professional, methodical, clean, safety-oriented, sophisticated.  Technical Specifications: - Material: Anti-rust, high-durability stainless steel alloy with a polished protective plating. - Handle Design: Features long, offset angled scissor shafts paired with comfortable round finger loops for effortless vertical trimming. - Finishes: Available in Matte/Polished Chrome Silver and Luxury Rose Gold. - Cutting Mechanism:Heavy-duty, flush-cutting horizontal blades integrated with a flat circular catch tray.  Best For: Preventing black soot deposits on glass candle jars, extending total candle lifespan by ensuring a controlled melt pool, safely trapping debris, and gifting alongside luxury scented candle sets.  Keywords: candle wick trimmer, stainless steel wick cutter, professional candle scissor, candle care tool, rose gold wick trimmer, deep jar wick cutter, soot prevention tool, candle debris catcher, long handle candle scissor, premium candle accessory  Vietnamese Keywords: kéo cắt bấc nến, kéo cắt tim nến, phụ kiện nến thơm, Heny Garden, kéo cắt bấc chuyên dụng, chăm sóc nến thơm, kéo màu vàng hồng, kéo cắt bấc inox, bấc cotton, giảm khói nến thơm.
